dias;S;I;R;N
188;507.7880034419229;494.92097297045257;-2.7089764123753923;1000.0000000000001
189;-246.15679473667717;1022.1630299347906;223.9937648018865;1000.0
190;508.6803307045576;494.77082297920856;-3.451153683766165;1000.0
191;-246.36022686353226;1022.7733820707383;223.5868447927939;1000.0
192;509.5518204472555;494.62445717425135;-4.17627762150687;1000.0
193;-246.55855732537054;1023.3695106593217;223.18904666604882;1000.0
194;510.4029731514278;494.481771234898;-4.884744386325849;1000.0
195;-246.7519254710005;1023.9517557998861;222.8001696711145;1000.0000000000001
196;511.2342765281003;494.3426641717557;-5.576940699855953;1000.0
197;-246.9404662963633;1024.5204490184096;222.4200172779536;1000.0
198;512.0462059359335;494.20703816228524;-6.25324409821863;1000.0000000000001
199;-247.12431057756623;1025.075913486689;222.0483970908776;1000.0000000000002
200;512.8392246526346;494.0747984858797;-6.9140231385138975;1000.0000000000003
201;-247.30358507508106;1025.6184642885482;221.68512078653333;1000.0000000000005
202;513.6137843381899;493.94585332204883;-7.559637660238252;1000.0000000000005
203;-247.47841261049211;1026.1484085938619;221.3300040166306;1000.0000000000003
204;514.3703251742827;493.8201137720755;-8.190438946357716;1000.0000000000005
205;-247.64891232134858;1026.666045954728;220.982866366621;1000.0000000000003
206;515.1092764724956;493.697493550382;-8.806770022877117;1000.0000000000005
207;-247.8151996245699;1027.1716683945715;220.64353122999884;1000.0000000000005
208;515.8310565311399;493.57790919825015;-9.408965729389564;1000.0000000000005
209;-247.97738661535334;1027.6655608000328;220.3118258153212;1000.0000000000007
210;516.5360736300275;493.46127949980394;-9.99735312983097;1000.0000000000005
211;-248.13558177380753;1028.14800082482;219.98758094898787;1000.0000000000003
212;517.2247252289241;493.34752615062405;-10.572251379547737;1000.0000000000003
213;-248.28989073795378;1028.619259538872;219.6706311990822;1000.0000000000005
214;517.8973999476306;493.2365724802157;-11.133972427846004;1000.0000000000002
215;-248.44041539212367;1029.0796008937127;219.36081449841114;1000.0000000000002
216;518.5544751606608;493.1283452363556;-11.68282039701623;1000.0000000000001
217;-248.58725559198967;1029.5292830344015;219.05797255758847;1000.0000000000002
218;519.1963214713423;493.0227715600531;-12.219093031395033;1000.0000000000005
219;-248.7305067154142;1029.96855668194;218.76195003347456;1000.0000000000005
220;519.8232962979142;492.9197835662296;-12.743079864143311;1000.0000000000006
221;-248.8702638136415;1030.3976681419751;218.472595671667;1000.0000000000007
222;520.4357546967216;492.81931087762405;-13.255065574345025;1000.0000000000006
223;-249.006615260422;1030.8168549465777;218.18976031384483;1000.0000000000005
224;521.0340327505002;492.72129232681027;-13.755325077309863;1000.0000000000006
225;-249.1396531387279;1031.2263532312472;217.9132999074812;1000.0000000000005
226;521.6184747159168;492.62565707893214;-14.244131794848357;1000.0000000000006
227;-249.26945683839983;1031.6263863237211;217.64307051467924;1000.0000000000006
228;522.1893900988258;492.5323547159717;-14.721744814796864;1000.0000000000007
229;-249.39611964038954;1032.0171834753733;217.3789361650169;1000.0000000000007
230;522.7471232424966;492.4413066993628;-15.188429941858772;1000.0000000000007
231;-249.51970608610713;1032.3989500532093;217.12075603289847;1000.0000000000007
232;523.2919416565401;492.3524844875993;-15.644426144138635;1000.0000000000008
233;-249.64032110427206;1032.771916100383;216.8684050038899;1000.0000000000007
234;523.8242171840498;492.2657830274924;-16.09000021154131;1000.0000000000008
235;-249.75799813855872;1033.1362579683869;216.62174017017264;1000.0000000000008
236;524.344132645079;492.1812258234037;-16.525358468481897;1000.0000000000007
237;-249.8728812306141;1033.492226084349;216.38065514626578;1000.0000000000008
238;524.8521595527985;492.0986312061924;-16.95079075899011;1000.0000000000008
239;-249.98492835184027;1033.8399369914023;216.1449913604387;1000.0000000000007
240;525.34827937636;492.01815656691474;-17.366435943273956;1000.0000000000008
